source number, current, width, height
1_1,1 of 4,2560,1836
|1_2,2 of 4,2560,1696
|1_3,3 of 4,2560,1696
|1_4,4 of 4,2560,1696
|2_1,1 of 6,2560,1949
|2_2,2 of 6,2560,2255
|2_3,3 of 6,2560,2139
|2_4,4 of 6,2560,1696
|2_5,5 of 6,2560,1822
|2_6,6 of 6,2560,3865
|3_1,1 of 4,2560,2937
|3_2,2 of 4,2560,4417
|3_3,3 of 4,2560,2508
|3_4,4 of 4,2560,3531
|4_1,1 of 3,2560,1859
|4_2,2 of 3,2560,1909
|4_3,3 of 3,1583,3042
|5_1,1 of 3,2560,2885
|5_2,2 of 3,2560,3063
|5_3,3 of 3,2560,1696
|6_1,1 of 2,2560,1696
|6_2,2 of 2,2560,4436
|7_1,1 of 3,2560,1763
|7_2,2 of 3,2560,1676
|7_3,3 of 3,2560,1696
|8_1,1 of 1,2560,1911
|9_1,1 of 3,2560,2545
|9_2,2 of 3,2560,2545
|9_3,3 of 3,2308,2311
|10_1,1 of 2,2560,1913
|10_2,2 of 2,2560,2070
